time,ad,count,nfr
8/18/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,13776,SITE_AD_DOMAIN
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,943,AD_INV_SRC_TYPE
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,132,BIDDER_FLOOR_UNMET
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,16,CREATIVE_FORMAT_ERROR
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,105559652,DEVICE_TYPE
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,1606716,LOST_TO_COMPETITION
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,18955245,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,56630,SITE_AD_DOMAIN
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,943,AD_INV_SRC_TYPE
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,138,BIDDER_FLOOR_UNMET
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,16,CREATIVE_FORMAT_ERROR
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,105559652,DEVICE_TYPE
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,1606716,LOST_TO_COMPETITION
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,18955239,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/19/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,56630,SITE_AD_DOMAIN
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,943,AD_INV_SRC_TYPE
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,138,BIDDER_FLOOR_UNMET
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,16,CREATIVE_FORMAT_ERROR
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,105559652,DEVICE_TYPE
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,60866,FILL
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,1545850,LOST_TO_COMPETITION
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,18955239,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Auto_Ad,56630,SITE_AD_DOMAIN
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,943,AD_INV_SRC_TYPE
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,138,BIDDER_FLOOR_UNMET
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,16,CREATIVE_FORMAT_ERROR
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,105559652,DEVICE_TYPE
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,280331,FILL
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,1326385,LOST_TO_COMPETITION
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,18955239,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/19/2017,Matomy_LP_$6.5_nodimension_Bidswitch_Manual_Ad,56630,SITE_AD_DOMAIN
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,786,AD_INV_SRC_TYPE
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,5048938,AD_SITE_HYGIENE
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,23,BIDDER_FLOOR_UNMET
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,4,CREATIVE_FORMAT_ERROR
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,61266146,DEVICE_TYPE
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,3826979,LOST_TO_COMPETITION
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,2969179,NO_ADS_COUNTRY_CARRIER_OS_BRAND
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Auto_Ad,8720,SITE_AD_DOMAIN
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,788,AD_INV_SRC_TYPE
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,361,BIDDER_FLOOR_UNMET
8/20/2017,Matomy_SP_$4.5_nodimension_Bidswitch_Manual_Ad,9,CREATIVE_FORMAT_ERROR
